rep,method,total_causal_features,causal_removed,causal_remaining,causal_selected,selection_accuracy,selected_features_original,selected_features_truncated
16,shat,6,6,0,0,0.0,7,1
16,sgreedy,6,6,0,0,0.0,7,1
17,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
17,sgreedy,6,0,6,3,0.5,"1,3,4","1,3,4"
17,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
17,sgreedy,6,1,5,3,0.6,"1,3,4","0,2,3"
17,shat,6,2,4,2,0.5,"2,3","0,1"
17,sgreedy,6,2,4,2,0.5,"2,3","0,1"
17,shat,6,3,3,2,0.6666666666666666,"3,5","0,2"
17,sgreedy,6,3,3,2,0.6666666666666666,"3,5","0,2"
17,shat,6,4,2,1,0.5,5,1
17,sgreedy,6,4,2,1,0.5,5,1
17,shat,6,5,1,1,1.0,5,0
17,sgreedy,6,5,1,1,1.0,5,0
17,shat,6,6,0,0,0.0,"6,7,9,10,11","0,1,3,4,5"
17,sgreedy,6,6,0,0,0.0,"6,7,9,10","0,1,3,4"
18,shat,6,0,6,6,1.0,"0,1,2,3,4,5,8","0,1,2,3,4,5,8"
18,sgreedy,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
18,shat,6,1,5,5,1.0,"1,2,3,4,5,8","0,1,2,3,4,7"
18,sgreedy,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
18,shat,6,2,4,4,1.0,"2,3,4,5","0,1,2,3"
18,sgreedy,6,2,4,3,0.75,"2,4,5","0,2,3"
18,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
18,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
18,shat,6,4,2,2,1.0,"4,5","0,1"
18,sgreedy,6,4,2,2,1.0,"4,5","0,1"
18,shat,6,5,1,0,0.0,"8,9","3,4"
18,sgreedy,6,5,1,1,1.0,5,0
18,shat,6,6,0,0,0.0,"8,9","2,3"
18,sgreedy,6,6,0,0,0.0,"8,9","2,3"
19,shat,6,0,6,6,1.0,"0,1,2,3,4,5","0,1,2,3,4,5"
19,sgreedy,6,0,6,5,0.8333333333333334,"1,2,3,4,5","1,2,3,4,5"
19,shat,6,1,5,5,1.0,"1,2,3,4,5","0,1,2,3,4"
19,sgreedy,6,1,5,4,0.8,"1,2,4,5","0,1,3,4"
19,shat,6,2,4,3,0.75,"2,4,5","0,2,3"
19,sgreedy,6,2,4,3,0.75,"2,4,5","0,2,3"
19,shat,6,3,3,3,1.0,"3,4,5","0,1,2"
19,sgreedy,6,3,3,3,1.0,"3,4,5","0,1,2"
19,shat,6,4,2,2,1.0,"4,5","0,1"
19,sgreedy,6,4,2,2,1.0,"4,5","0,1"
19,shat,6,5,1,1,1.0,5,0
19,sgreedy,6,5,1,1,1.0,5,0
19,shat,6,6,0,0,0.0,7,1
19,sgreedy,6,6,0,0,0.0,7,1
